model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,car_type
 Superb,2019,28950,Automatic,9229,Diesel,145,47.1,2.0,skoda
 E Class,2016,21317,Automatic,21316,Diesel,165,50.4,3.0,merc
 C Class,2019,29399,Semi-Auto,4208,Diesel,145,57.7,2.0,merc
 Fiesta,2017,9499,Manual,17310,Petrol,145,65.7,1.0,ford
 E Class,2018,30995,Semi-Auto,9037,Diesel,150,51.4,3.0,merc
 Fiesta,2018,10300,Manual,26995,Petrol,145,64.2,1.1,ford
 Q3,2015,14290,Automatic,18693,Diesel,145,55.4,2.0,audi
 3 Series,2020,42990,Semi-Auto,3698,Diesel,145,43.5,3.0,bmw
 A3,2019,23690,Automatic,9338,Petrol,145,42.2,1.5,audi
 Corolla,2020,28990,Automatic,2000,Hybrid,140,53.3,2.0,toyota
 Kuga,2018,17500,Manual,26344,Diesel,145,47.9,2.0,ford
 Q3,2017,17500,Automatic,30682,Diesel,160,50.4,2.0,audi
 SLK,2006,5990,Manual,70952,Petrol,565,28.5,3.0,merc
 Avensis,2017,10499,Manual,32819,Diesel,20,67.3,1.6,toyota
 GLC Class,2018,32480,Semi-Auto,11592,Diesel,145,56.5,2.1,merc
 CLS Class,2018,26682,Semi-Auto,11700,Diesel,145,51.4,3.0,merc
 Aygo,2016,6998,Manual,28707,Petrol,0,69.0,1.0,toyota
 EcoSport,2017,9791,Manual,28000,Petrol,145,52.3,1.0,ford
 Fiesta,2016,7580,Manual,33056,Petrol,125,54.3,1.2,ford
 A6,2016,17495,Semi-Auto,31000,Diesel,20,64.2,2.0,audi
 Fiesta,2014,7499,Manual,82508,Petrol,145,47.9,1.6,ford
 TT,2019,29990,Automatic,3500,Petrol,145,38.7,2.0,audi
 Fiesta,2018,10600,Manual,27401,Petrol,150,56.5,1.0,ford
 Fabia,2019,13298,Manual,10,Petrol,145,52.3,1.0,skoda
 A Class,2019,25890,Automatic,2858,Petrol,145,47.9,1.3,merc
 X6,2013,15380,Semi-Auto,71522,Diesel,300,38.2,3.0,bmw
 Fiesta,2018,11500,Manual,11000,Petrol,145,65.7,1.0,ford
 5 Series,2013,10999,Automatic,89693,Diesel,125,57.6,2.0,bmw
 A3,2016,20899,Manual,10750,Diesel,30,64.2,2.0,audi
 A8,2018,34495,Automatic,12387,Diesel,145,50.4,3.0,audi
 Kuga,2016,9950,Manual,67648,Diesel,125,60.1,2.0,ford
 1 Series,2019,17898,Semi-Auto,11804,Diesel,145,70.6,2.0,bmw
 I10,2017,6240,Manual,31050,Petrol,150,60.1,1.0,hyundi
 E Class,2015,14399,Semi-Auto,41650,Diesel,30,64.2,2.1,merc
 Fiesta,2016,8698,Manual,28333,Petrol,0,65.7,1.0,ford
 Fiesta,2018,9495,Manual,15835,Petrol,150,64.2,1.1,ford
 Auris,2015,11995,Automatic,11270,Hybrid,0,74.3,1.8,toyota
 C Class,2019,29849,Semi-Auto,2303,Petrol,145,44.1,2.0,merc
 2 Series,2018,19950,Semi-Auto,27312,Diesel,145,57.6,2.0,bmw
 E Class,2016,20782,Semi-Auto,18216,Diesel,160,52.3,3.0,merc
 1 Series,2013,8295,Manual,71797,Diesel,30,65.7,2.0,bmw
 B Class,2010,3495,Manual,92573,Diesel,145,52.3,2.0,merc
 Kuga,2017,14500,Manual,20937,Diesel,150,60.1,2.0,ford
 A1,2017,12495,Manual,25747,Petrol,0,67.3,1.0,audi
 EcoSport,2017,11500,Manual,10126,Petrol,145,52.3,1.0,ford
 EcoSport,2017,8742,Manual,38275,Petrol,125,52.3,1.0,ford
 GLC Class,2020,44950,Automatic,2500,Petrol,145,31.7,2.0,merc
 Fiesta,2019,16250,Manual,1945,Petrol,145,58.9,1.0,ford
 RAV4,2017,20795,Automatic,28128,Hybrid,20,57.6,2.5,toyota
 E Class,2017,22549,Semi-Auto,11900,Diesel,145,65.7,2.0,merc
 Focus,2016,8498,Manual,49974,Diesel,0,74.3,1.5,ford
 Fiesta,2018,10708,Manual,8949,Petrol,145,65.7,1.0,ford
 Aygo,2015,5475,Manual,54417,Petrol,0,69.0,1.0,toyota
 Octavia,2017,13490,Semi-Auto,17704,Diesel,30,64.2,2.0,skoda
 Prius,2010,7400,Automatic,48000,Hybrid,0,72.4,1.8,toyota
 Auris,2015,14750,Automatic,32500,Hybrid,0,72.4,1.8,toyota
 Yaris,2016,11498,Automatic,23191,Hybrid,0,86.0,1.5,toyota
 Fiesta,2016,8491,Manual,19389,Petrol,125,54.3,1.2,ford
 I30,2017,10498,Manual,29304,Diesel,145,74.3,1.6,hyundi
 Fiesta,2019,13140,Manual,873,Petrol,145,48.7,1.1,ford
 5 Series,2012,9690,Automatic,71375,Diesel,125,57.6,2.0,bmw
 Tucson,2019,22450,Automatic,6500,Petrol,145,36.2,1.6,hyundi
 A3,2019,22990,Automatic,5000,Diesel,145,53.3,1.6,audi
 Galaxy,2017,19995,Manual,22995,Diesel,125,56.5,2.0,ford
 3 Series,2016,17450,Semi-Auto,16413,Diesel,30,62.8,2.0,bmw
 Aygo,2017,8495,Manual,40157,Petrol,145,68.9,1.0,toyota
 GLE Class,2018,32991,Semi-Auto,23451,Diesel,150,47.9,2.1,merc
 Kuga,2017,17298,Automatic,8245,Petrol,235,38.2,1.5,ford
 C Class,2019,36199,Semi-Auto,9800,Petrol,145,30.4,3.0,merc
 EcoSport,2015,7652,Manual,32328,Petrol,125,53.3,1.0,ford
 Q3,2015,16698,Manual,32914,Diesel,145,52.3,2.0,audi
 5 Series,2019,32072,Semi-Auto,6215,Hybrid,145,60.1,2.0,bmw
 A8,2019,53000,Automatic,1000,Petrol,145,37.7,3.0,audi
 Tucson,2018,15249,Manual,9755,Petrol,145,44.8,1.6,hyundi
 Focus,2017,10671,Manual,36013,Diesel,145,74.3,1.5,ford
 Focus,2015,8650,Manual,47907,Diesel,0,74.3,1.5,ford
 Ka+,2018,8616,Manual,13900,Petrol,145,47.9,1.2,ford
 2 Series,2016,12200,Manual,33764,Diesel,20,74.3,1.5,bmw
 1 Series,2019,19950,Semi-Auto,9119,Petrol,145,54.3,1.5,bmw
 4 Series,2017,20892,Semi-Auto,18278,Diesel,150,60.1,2.0,bmw
 A3,2014,7599,Manual,50416,Diesel,0,74.3,1.6,audi
 2 Series,2017,17110,Semi-Auto,34032,Diesel,145,65.7,2.0,bmw
 Octavia,2018,12695,Manual,39395,Diesel,145,65.7,2.0,skoda
 GLE Class,2019,48890,Automatic,6170,Diesel,145,32.8,3.0,merc
 Fabia,2007,1500,Manual,74000,Petrol,200,42.2,1.4,skoda
 Tucson,2019,19990,Manual,50,Petrol,145,35.3,1.6,hyundi
 X4,2015,19485,Manual,53755,Diesel,160,52.3,2.0,bmw
 A Class,2019,22299,Semi-Auto,6571,Diesel,145,65.7,1.5,merc
 3 Series,2019,30650,Automatic,7491,Petrol,145,41.5,2.0,bmw
 Tucson,2018,13950,Manual,7573,Petrol,145,44.8,1.6,hyundi
 GL Class,2016,35371,Automatic,14253,Diesel,325,36.2,3.0,merc
 Focus,2012,6500,Manual,43200,Petrol,145,47.9,1.6,ford
 Citigo,2014,5999,Manual,28700,Petrol,0,68.9,1.0,skoda
 1 Series,2016,12000,Manual,30445,Petrol,125,53.3,1.5,bmw
 A1,2016,13990,Manual,25600,Petrol,30,55.4,1.4,audi
 Tucson,2018,17995,Manual,13668,Diesel,150,48.7,1.6,hyundi
 Fiesta,2017,9050,Manual,16812,Petrol,145,64.2,1.1,ford
 Yaris,2018,10500,Manual,16800,Petrol,145,47.1,1.5,toyota
 Q2,2017,21990,Semi-Auto,28943,Diesel,145,57.7,2.0,audi
 C-HR,2018,23880,Automatic,21755,Hybrid,135,74.3,1.8,toyota
 A Class,2017,14990,Manual,23000,Petrol,145,49.6,1.6,merc
 Citigo,2013,5990,Manual,36845,Petrol,20,62.8,1.0,skoda
 Focus,2012,6495,Automatic,79000,Petrol,155,44.1,1.6,ford
 Mondeo,2015,6391,Manual,110000,Diesel,20,67.3,2.0,ford
 Kuga,2017,14695,Manual,22811,Diesel,125,60.1,2.0,ford
 1 Series,2016,10200,Manual,44384,Diesel,20,68.9,2.0,bmw
 Focus,2016,10417,Automatic,11990,Petrol,125,51.4,1.0,ford
 Focus,2018,19979,Semi-Auto,6465,Diesel,145,61.4,2.0,ford
 E Class,2017,21950,Automatic,26355,Diesel,145,65.7,2.0,merc
 X2,2019,28608,Automatic,123,Diesel,145,50.4,2.0,bmw
 3 Series,2013,9985,Manual,75561,Diesel,20,68.9,2.0,bmw
 5 Series,2016,12639,Automatic,72924,Diesel,20,68.9,2.0,bmw
 Tucson,2019,16390,Manual,10,Petrol,145,35.3,1.6,hyundi
 Aygo,2017,7880,Manual,22479,Petrol,145,69.0,1.0,toyota
 Fiesta,2015,8999,Manual,9467,Petrol,0,65.7,1.0,ford
 Tucson,2017,13290,Manual,17936,Diesel,30,61.7,1.7,hyundi
 Focus,2016,8940,Manual,48687,Diesel,0,74.3,1.5,ford
 3 Series,2018,16498,Semi-Auto,33546,Diesel,145,67.3,2.0,bmw
 Fiesta,2016,8990,Manual,21871,Petrol,0,65.7,1.0,ford
 A Class,2017,17200,Semi-Auto,48709,Diesel,20,74.3,1.5,merc
 Camry,2019,25990,Automatic,10732,Hybrid,135,52.3,2.5,toyota
 Octavia,2017,16500,Semi-Auto,46086,Diesel,145,56.5,2.0,skoda
 A5,2017,27895,Semi-Auto,28241,Petrol,145,38.2,3.0,audi
 A6,2015,15799,Automatic,80232,Diesel,125,61.4,2.0,audi
 Q3,2015,14990,Manual,55000,Diesel,145,52.3,2.0,audi
 GLC Class,2018,28000,Semi-Auto,20188,Diesel,150,56.5,2.1,merc
 Fiesta,2016,7995,Manual,21091,Petrol,0,65.7,1.0,ford
 X5,2014,23000,Automatic,56232,Diesel,205,45.6,3.0,bmw
 Fiesta,2016,8600,Manual,19873,Petrol,125,54.3,1.2,ford
 A3,2018,20977,Manual,10045,Petrol,145,42.2,1.5,audi
 SL CLASS,2017,18699,Semi-Auto,21750,Petrol,145,47.9,2.0,merc
 Kuga,2019,21600,Automatic,2492,Petrol,145,29.4,1.5,ford
 2 Series,2017,15498,Manual,16134,Diesel,20,74.3,1.5,bmw
 I10,2017,7995,Manual,6200,Petrol,145,60.1,1.0,hyundi
 C Class,2015,14850,Automatic,90000,Diesel,30,61.4,2.1,merc
 C Class,2019,20599,Semi-Auto,13004,Diesel,145,61.4,2.0,merc
 B-MAX,2017,8495,Manual,16967,Diesel,145,74.3,1.5,ford
 C Class,2019,31299,Semi-Auto,4831,Diesel,145,61.4,2.0,merc
 RS5,2019,51990,Automatic,10,Petrol,145,30.4,2.9,audi
 S-MAX,2019,24995,Manual,8524,Diesel,150,54.3,2.0,ford
 Fabia,2019,10490,Manual,4981,Petrol,150,57.7,1.0,skoda
 3 Series,2020,43970,Semi-Auto,1381,Petrol,145,41.5,2.0,bmw
 M Class,2014,21944,Automatic,34525,Diesel,305,39.2,3.0,merc
 Octavia,2015,7995,Semi-Auto,93300,Diesel,30,64.2,2.0,skoda
 C Class,2019,28000,Automatic,584,Diesel,145,53.3,2.0,merc
 X2,2019,28000,Automatic,4773,Diesel,145,58.9,2.0,bmw
 Octavia,2019,19993,Automatic,220,Petrol,145,44.1,1.5,skoda
 S-MAX,2016,15800,Manual,29246,Diesel,125,56.5,2.0,ford
 C Class,2019,26450,Semi-Auto,8439,Diesel,145,60.1,1.6,merc
 TT,2015,17995,Automatic,46000,Petrol,190,42.8,2.0,audi
 E Class,2016,18800,Automatic,31257,Diesel,30,65.7,2.0,merc
 I10,2017,7190,Manual,20391,Petrol,20,60.1,1.0,hyundi
 Kuga,2018,14500,Manual,25451,Diesel,145,64.2,1.5,ford
 E Class,2017,22225,Automatic,26270,Diesel,145,61.4,2.0,merc
 5 Series,2019,39999,Semi-Auto,5877,Diesel,145,60.1,2.0,bmw
 Aygo,2019,9990,Manual,5650,Petrol,145,57.7,1.0,toyota
 C-MAX,2016,8599,Manual,22517,Diesel,20,68.9,1.5,ford
 C Class,2019,34649,Semi-Auto,1000,Diesel,145,61.4,2.0,merc
 Fiesta,2018,12500,Manual,116,Petrol,145,65.7,1.0,ford
 C Class,2017,19498,Semi-Auto,46889,Hybrid,0,134.5,2.0,merc
 5 Series,2019,29700,Semi-Auto,3901,Petrol,145,46.3,2.0,bmw
 Kamiq,2019,15795,Manual,4500,Diesel,145,56.5,1.6,skoda
 4 Series,2017,16800,Automatic,44011,Diesel,150,65.7,2.0,bmw
 Q3,2016,15999,Manual,11855,Petrol,150,47.9,1.4,audi
 C Class,2017,16999,Manual,12146,Diesel,20,70.6,1.6,merc
 B Class,2014,8990,Semi-Auto,50554,Diesel,30,64.2,1.5,merc
 Kuga,2018,16999,Automatic,37933,Diesel,145,54.3,2.0,ford
 Yaris,2019,11995,Manual,6335,Petrol,145,47.9,1.5,toyota
 Mustang,2018,28750,Semi-Auto,6234,Petrol,145,28.8,2.3,ford
 A5,2019,27490,Automatic,6000,Petrol,145,39.8,2.0,audi
 Grand C-MAX,2016,9975,Manual,30848,Petrol,30,54.3,1.0,ford
 Kuga,2018,19000,Manual,14926,Diesel,145,54.3,2.0,ford
 2 Series,2019,22480,Automatic,7107,Diesel,145,49.6,2.0,bmw
 Mondeo,2016,7792,Manual,105000,Diesel,0,78.5,1.5,ford
 Superb,2017,15495,Manual,27517,Diesel,145,67.3,1.6,skoda
 Q5,2016,19400,Semi-Auto,46557,Diesel,200,47.1,2.0,audi
 Corolla,2019,20288,Manual,4886,Petrol,150,39.2,1.2,toyota
 Ioniq,2017,17800,Automatic,21553,Hybrid,135,78.5,1.6,hyundi
 Fiesta,2017,7290,Manual,52530,Petrol,0,65.7,1.0,ford
 Tucson,2016,10985,Manual,60996,Diesel,30,61.7,1.7,hyundi
 A1,2017,12990,Manual,16872,Petrol,150,55.4,1.4,audi
 Fiesta,2018,13084,Manual,5681,Petrol,145,65.7,1.0,ford
 I10,2018,8500,Manual,9196,Petrol,145,57.6,1.2,hyundi
 Kuga,2019,17690,Manual,7404,Diesel,150,45.6,1.5,ford
 Mondeo,2018,12999,Manual,37761,Diesel,145,78.5,1.5,ford
 3 Series,2015,12700,Automatic,49122,Diesel,30,67.3,2.0,bmw
 Yaris,2017,12790,Automatic,33659,Hybrid,0,86.0,1.5,toyota
 RAV4,2015,11500,Manual,64928,Diesel,145,53.0,2.0,toyota
 Kuga,2015,12000,Manual,36638,Diesel,145,54.3,2.0,ford
 Land Cruiser,2004,5975,Automatic,160000,Diesel,325,31.4,3.0,toyota
 6 Series,2019,39999,Semi-Auto,1125,Petrol,145,34.5,3.0,bmw
 Z4,2012,10595,Manual,47800,Petrol,200,41.5,2.0,bmw
 2 Series,2014,13227,Automatic,29236,Petrol,145,47.1,2.0,bmw
 C-MAX,2017,10995,Manual,36185,Diesel,145,68.9,1.5,ford
 Aygo,2017,6798,Manual,9701,Petrol,150,69.0,1.0,toyota
 R8,2016,79900,Semi-Auto,10172,Petrol,570,24.8,5.2,audi
 4 Series,2019,30995,Automatic,1500,Petrol,145,41.5,3.0,bmw
 I30,2013,5989,Manual,40029,Petrol,145,47.1,1.4,hyundi
 A6,2019,30850,Semi-Auto,5000,Diesel,145,50.4,2.0,audi
 Fiesta,2015,5995,Manual,78000,Petrol,125,54.3,1.2,ford
 Fiesta,2020,15299,Manual,68,Petrol,145,58.9,1.0,ford
 Fiesta,2016,6298,Manual,53005,Petrol,125,54.3,1.2,ford
 A3,2019,24450,Manual,6552,Petrol,150,44.1,1.5,audi
 Focus,2017,17750,Manual,5597,Petrol,145,41.5,2.0,ford
 Z4,2020,35850,Semi-Auto,5,Petrol,145,37.2,2.0,bmw
 Q2,2017,21985,Semi-Auto,11126,Diesel,145,57.7,2.0,audi
 C Class,2018,28149,Automatic,9273,Diesel,145,54.3,2.0,merc
 Fiesta,2018,10597,Manual,6499,Petrol,145,64.2,1.1,ford
 C Class,2019,41870,Automatic,7226,Diesel,145,54.3,2.0,merc
 A4,2016,16995,Manual,41443,Diesel,30,67.3,2.0,audi
 EcoSport,2017,9345,Manual,31468,Petrol,125,53.3,1.0,ford
 Fiesta,2016,5599,Manual,86046,Diesel,0,78.5,1.5,ford
 Prius,2014,15995,Automatic,47221,Hybrid,0,134.5,1.8,toyota
 Fiesta,2015,7480,Manual,13967,Petrol,125,54.3,1.2,ford
 3 Series,2019,29950,Semi-Auto,104,Diesel,145,52.3,2.0,bmw
 Aygo,2017,6290,Manual,22181,Petrol,0,69.0,1.0,toyota
 I800,2016,13990,Manual,30283,Diesel,300,37.7,2.5,hyundi
 Fiesta,2016,8900,Manual,35500,Petrol,20,62.8,1.0,ford
 C Class,2019,29699,Semi-Auto,5766,Diesel,145,61.4,2.0,merc
 Fabia,2015,7160,Manual,15676,Petrol,20,60.1,1.2,skoda
 Octavia,2017,9999,Manual,37509,Diesel,150,68.9,1.6,skoda
 IX35,2013,7490,Automatic,69652,Diesel,300,39.2,2.0,hyundi
 E Class,2015,15462,Semi-Auto,48128,Diesel,145,55.4,2.1,merc
 Aygo,2018,6250,Manual,33150,Petrol,145,69.0,1.0,toyota
 Q3,2017,19491,Manual,27428,Diesel,145,56.5,2.0,audi
 5 Series,2002,6990,Automatic,78316,Petrol,325,23.7,3.5,bmw
 Yaris,2017,9495,Manual,19800,Petrol,30,55.0,1.3,toyota
 A Class,2017,16392,Manual,18969,Diesel,145,68.9,1.5,merc
 EcoSport,2017,9298,Manual,16770,Petrol,145,44.8,1.5,ford
 Fiesta,2018,9700,Manual,6302,Petrol,145,64.2,1.1,ford
 A3,2017,22991,Semi-Auto,25624,Petrol,145,44.1,2.0,audi
 Fabia,2018,9415,Manual,29100,Diesel,145,70.6,1.4,skoda
 Corolla,2019,22050,Automatic,12000,Hybrid,135,72.4,2.0,toyota
 A4,2019,24450,Automatic,3382,Petrol,145,38.7,2.0,audi
 C Class,2017,17599,Semi-Auto,21516,Diesel,20,64.2,2.1,merc
 A6,2016,17298,Manual,31759,Diesel,30,61.4,2.0,audi
 C-MAX,2009,2280,Manual,89000,Petrol,200,40.9,1.6,ford
 Yaris,2019,15950,Automatic,10589,Hybrid,150,43.5,1.5,toyota
 Fiesta,2016,7550,Manual,46000,Diesel,0,78.5,1.5,ford
 Kona,2018,12695,Manual,10569,Petrol,145,52.3,1.0,hyundi
 X2,2019,34368,Automatic,123,Petrol,145,34.0,2.0,bmw
 Kuga,2019,16500,Manual,13278,Diesel,145,54.3,1.5,ford
 C-HR,2018,17800,Automatic,15736,Petrol,145,47.9,1.2,toyota
 Tucson,2016,11998,Manual,36512,Diesel,30,61.7,1.7,hyundi
 5 Series,2019,30995,Automatic,999,Diesel,145,65.7,2.0,bmw
 Q3,2017,18500,Manual,16949,Petrol,145,49.6,1.4,audi
 E Class,2015,14699,Automatic,41244,Diesel,125,58.9,2.1,merc
 A1,2019,21000,Automatic,4288,Petrol,145,47.1,1.0,audi
 RAV4,2016,16217,Automatic,24431,Petrol,200,43.5,2.0,toyota
 EcoSport,2016,9990,Semi-Auto,17385,Petrol,160,44.8,1.5,ford
 A3,2016,7500,Manual,103040,Diesel,20,68.9,2.0,audi
 Focus,2018,19395,Manual,7506,Diesel,145,67.3,2.0,ford
 S Class,2019,55649,Semi-Auto,2500,Diesel,145,52.3,3.0,merc
 X1,2020,25480,Semi-Auto,24,Diesel,145,60.1,2.0,bmw
 SL CLASS,2019,51096,Semi-Auto,2281,Petrol,145,36.7,3.0,merc
 Santa Fe,2019,36990,Semi-Auto,2199,Diesel,145,39.2,2.2,hyundi
 Octavia,2016,16220,Semi-Auto,19119,Diesel,125,56.5,2.0,skoda
 Focus,2014,7999,Manual,29160,Petrol,30,56.5,1.0,ford
 A4,2013,6990,Automatic,89000,Diesel,125,58.9,2.0,audi
 3 Series,2015,15698,Semi-Auto,47167,Diesel,125,57.6,3.0,bmw
 Octavia,2019,14500,Manual,6200,Petrol,150,58.9,1.0,skoda
 Focus,2018,14950,Manual,581,Petrol,145,58.9,1.0,ford
 Fiesta,2018,10000,Manual,9489,Petrol,145,65.7,1.0,ford
 A4,2017,16800,Automatic,25952,Diesel,145,67.3,2.0,audi
 Auris,2016,13290,Automatic,51939,Hybrid,0,78.5,1.8,toyota
 I20,2017,7900,Manual,23921,Petrol,145,58.9,1.2,hyundi
 A6,2013,12000,Manual,85100,Diesel,145,56.5,2.0,audi
 Fiesta,2012,3999,Manual,83009,Diesel,20,68.9,1.4,ford
 Tucson,2017,12395,Manual,18679,Diesel,30,61.7,1.7,hyundi
 Corolla,2019,19290,Manual,10011,Petrol,150,39.2,1.2,toyota
 3 Series,2017,16600,Automatic,50000,Other,0,134.5,2.0,bmw
 A3,2017,17498,Manual,23760,Petrol,30,60.1,1.4,audi
 A1,2019,20766,Automatic,2801,Petrol,145,47.1,1.0,audi
 B Class,2013,9995,Manual,35000,Diesel,20,64.2,1.5,merc
 C Class,2019,66990,Automatic,9625,Petrol,145,28.0,4.0,merc
 Yeti Outdoor,2017,12990,Manual,21303,Petrol,150,51.4,1.2,skoda
 Focus,2017,10999,Manual,15555,Petrol,145,58.9,1.0,ford
 E Class,2017,20899,Semi-Auto,28878,Diesel,145,72.4,2.0,merc
 A Class,2017,14999,Manual,11373,Diesel,145,65.7,2.1,merc
 Focus,2019,17500,Manual,2160,Petrol,150,58.9,1.0,ford
 3 Series,2014,11128,Manual,67232,Diesel,125,57.6,2.0,bmw
 C Class,2013,10999,Automatic,49085,Diesel,145,53.3,2.1,merc
 B-MAX,2014,7600,Manual,21884,Petrol,30,57.7,1.0,ford
 Aygo,2016,7495,Manual,34136,Petrol,0,69.0,1.0,toyota
 TT,2015,24900,Semi-Auto,24435,Petrol,200,40.9,2.0,audi
 1 Series,2017,13500,Manual,16423,Diesel,150,72.4,1.5,bmw
 Tucson,2018,17999,Semi-Auto,13554,Petrol,150,36.2,1.6,hyundi
 C Class,2016,17440,Automatic,25374,Diesel,30,64.2,2.1,merc
 Focus,2016,10995,Manual,30923,Diesel,0,74.3,1.5,ford
 A4,2019,27990,Automatic,6000,Petrol,145,40.9,2.0,audi
 RAV4,2017,19450,Automatic,15182,Petrol,145,43.5,2.0,toyota
 A Class,2019,20999,Semi-Auto,6234,Petrol,145,53.3,1.3,merc
 SLK,2008,7495,Automatic,58000,Petrol,330,29.7,3.0,merc
 M5,2019,69995,Automatic,3700,Petrol,145,24.1,4.4,bmw
 A3,2017,27500,Semi-Auto,12000,Petrol,150,43.5,2.0,audi
 A5,2018,26000,Automatic,7500,Petrol,145,50.4,2.0,audi
 C Class,2018,22900,Semi-Auto,23831,Diesel,145,60.1,2.1,merc
 Fiesta,2017,10000,Manual,27284,Petrol,145,65.7,1.0,ford
 A Class,2018,20295,Semi-Auto,9748,Petrol,145,53.3,1.3,merc
 Focus,2018,11900,Manual,17881,Petrol,145,60.1,1.0,ford
 Fiesta,2015,8222,Manual,25550,Petrol,0,65.7,1.0,ford
 A3,2017,13300,Automatic,31258,Petrol,20,60.1,1.0,audi
 Yaris,2019,13995,Manual,5693,Petrol,145,47.9,1.5,toyota
 Kuga,2016,12500,Manual,47000,Diesel,125,60.1,2.0,ford
 Fabia,2017,11495,Semi-Auto,11184,Petrol,20,60.1,1.2,skoda
 I10,2018,7995,Manual,16344,Petrol,145,57.7,1.2,hyundi
 Citigo,2019,9690,Manual,2987,Petrol,145,67.3,1.0,skoda
 A4,2018,20495,Manual,30008,Petrol,145,48.7,1.4,audi
 5 Series,2019,36995,Semi-Auto,6142,Petrol,145,39.2,3.0,bmw
 Focus,2017,9830,Manual,26340,Petrol,145,61.4,1.0,ford
 Corolla,2020,25990,Automatic,1112,Other,135,53.3,2.0,toyota
 Auris,2017,10495,Manual,38716,Petrol,145,58.9,1.2,toyota
 Mondeo,2018,16800,Automatic,17960,Diesel,145,58.9,2.0,ford
 Superb,2017,13799,Manual,46086,Diesel,20,67.3,2.0,skoda
 2 Series,2016,12799,Manual,57561,Diesel,30,67.3,1.5,bmw
 CL Class,2016,16490,Manual,43000,Diesel,20,67.3,2.1,merc
 4 Series,2017,17999,Automatic,26839,Diesel,30,65.7,2.0,bmw
 A Class,2017,15500,Automatic,32568,Diesel,20,68.9,2.1,merc
 C Class,2018,29249,Semi-Auto,4574,Diesel,145,54.3,2.0,merc
 Kuga,2018,18499,Manual,4510,Diesel,145,54.3,1.5,ford
 Focus,2018,16990,Manual,19500,Petrol,145,58.9,1.0,ford
 X-CLASS,2019,28950,Automatic,2746,Diesel,260,35.8,2.3,merc
 Yaris,2017,10288,Manual,6210,Petrol,145,58.9,1.5,toyota
 EcoSport,2018,14691,Manual,19041,Petrol,150,51.4,1.0,ford
 A Class,2014,13532,Semi-Auto,31279,Diesel,20,64.2,2.1,merc
 Yaris,2013,2470,Manual,66000,Petrol,125,58.9,1.3,toyota
 GLE Class,2016,28998,Semi-Auto,34669,Diesel,200,47.9,2.1,merc
 Kuga,2017,15660,Automatic,15962,Diesel,145,54.3,2.0,ford
 Fiesta,2017,9491,Manual,22571,Petrol,0,65.7,1.0,ford
 Kuga,2017,15999,Automatic,11560,Petrol,145,38.2,1.5,ford
 Aygo,2016,7395,Manual,14000,Petrol,0,69.0,1.0,toyota
 A Class,2018,20490,Automatic,7148,Diesel,145,67.3,1.5,merc
 Tucson,2017,15698,Semi-Auto,16768,Diesel,125,57.6,1.7,hyundi
 A5,2019,27444,Semi-Auto,2363,Petrol,145,40.4,2.0,audi
 X3,2015,18999,Automatic,21512,Diesel,145,54.3,2.0,bmw
 A Class,2017,17500,Automatic,26986,Diesel,145,74.3,1.5,merc
 I10,2018,8200,Manual,7672,Petrol,145,60.1,1.0,hyundi
 Mondeo,2016,10490,Manual,69000,Diesel,30,64.2,2.0,ford
 X1,2019,30995,Semi-Auto,1501,Diesel,145,52.3,2.0,bmw
 C-MAX,2017,9989,Manual,28264,Diesel,20,68.9,1.5,ford
 Ka+,2019,9500,Manual,2900,Petrol,145,47.9,1.2,ford
 C-HR,2017,18650,Automatic,13805,Hybrid,135,74.3,1.8,toyota
 Ka+,2018,8037,Manual,4101,Petrol,145,57.7,1.2,ford
 KA,2008,1294,Manual,59750,Petrol,160,43.5,1.3,ford
 X3,2019,31990,Semi-Auto,7115,Diesel,145,54.3,2.0,bmw
 Fabia,2017,9495,Manual,22049,Petrol,20,58.9,1.2,skoda
 X3,2016,17600,Automatic,43410,Diesel,145,54.3,2.0,bmw
 Focus,2015,10390,Semi-Auto,13655,Petrol,160,44.8,1.6,ford
 A4,2016,11698,Manual,72981,Diesel,0,74.3,2.0,audi
 A6,2019,28800,Automatic,3545,Diesel,145,47.9,2.0,audi
 Kuga,2017,13499,Automatic,5607,Petrol,145,38.2,1.5,ford
 Fiesta,2017,7950,Manual,33622,Petrol,125,54.3,1.2,ford
 Superb,2019,24699,Automatic,9311,Petrol,145,38.2,2.0,skoda
 Focus,2019,18975,Manual,6200,Petrol,145,49.6,1.0,ford
 E Class,2017,20690,Automatic,24325,Diesel,145,65.7,2.0,merc
 IX20,2016,9000,Manual,21686,Petrol,125,50.4,1.4,hyundi
 Fabia,2013,6150,Manual,26000,Petrol,125,54.3,1.2,skoda
 X3,2016,22000,Automatic,34208,Diesel,145,54.3,2.0,bmw
 E Class,2014,16299,Semi-Auto,27000,Diesel,165,47.9,3.0,merc
 A6,2018,27500,Semi-Auto,7825,Diesel,145,50.4,2.0,audi
 5 Series,2015,15990,Automatic,50000,Diesel,160,50.4,3.0,bmw
 Tucson,2018,13990,Manual,23401,Petrol,150,44.8,1.6,hyundi
 Ioniq,2016,13685,Automatic,13695,Hybrid,0,78.5,1.6,hyundi
 7 Series,2019,47980,Semi-Auto,12038,Diesel,150,44.1,3.0,bmw
 3 Series,2014,9000,Automatic,155790,Diesel,145,54.3,3.0,bmw
